"HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Input.statement1a","Input.statement1b","Input.statement2a","Input.statement2b","Input.statement3a","Input.statement3b","Input.statement4a","Input.statement4b","Input.statement5a","Input.statement5b","Answer.Q1","Answer.Q2","Answer.Q3","Answer.Q4","Answer.Q5","Answer.comment1","Answer.comment2","Answer.comment3","Answer.comment4","Answer.comment5","Approve","Reject"
"31J7RYECZL4O1S9I9MFRB6IUDZM1LU","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:59 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:59 GMT 2014","","","3SEPORI8WOD6MP1FA84UI6HEXVNZAB","A1LD0QIDVO016U","Approved","Fri Dec 19 16:20:20 GMT 2014","Fri Dec 19 16:24:11 GMT 2014","Sun Dec 21 16:24:11 GMT 2014","2014/12/21 16:28:09 +0000","","","231","100% (25/25)","100% (25/25)","100% (9/9)","You'll need to check the particular policies of each publisher to see what is allowed and what is not allowed.","If you need to publish the book and you have found one publisher that allows it.","I started one with that goal in mind back in high school (I'm in college now).","I have never heard of an academic journal specifically meant for high school students.","You should check the conditions of your journal using the SHERPA/RoMEO list.","You should read the copyright transfer contract that you have signed.","It is not completely true that failures are not published.","One of the consequences of not reporting failures is publication bias.","these words refer to parts merging to form a whole. (the parts may also be encoded as part_1 and part_2.) there is a symmetrical relationship between the components that undergo the process, and afterwards the parts are consumed and are no longer distinct entities that are easily discernable or separable in the whole.","a collection of things that have been combined; an assemblage of separate parts or qualities","(3) Roughly equivalent, but some important information differs/missing.","(1) Not equivalent, but are on the same topic.","(0) On different topics.","(2) Not equivalent, but share some details.","(4) Mostly equivalent, but some unimportant details differ.","","","","",""
"31KPKEKW4ARCHU2OMQMXJY3FWD1B0D","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:42 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:42 GMT 2014","","","373ERPL3YPM2ZUEX6R1YR857C3KTRS","A301GNFG8W711Q","Approved","Fri Dec 19 15:30:36 GMT 2014","Fri Dec 19 15:33:07 GMT 2014","Sun Dec 21 15:33:07 GMT 2014","2014/12/21 15:38:06 +0000","","","151","100% (41/41)","100% (41/41)","0% (0/0)","Contrary to some of the other answerers, I do think ""intuition blurring"" is a real thing.","Languages can often be distinguished based on prosodic information alone.","The dirty little secret of English is that syllable boundaries mostly do not matter (unlike other languages).","Unfortunately, there is no straightforward syllabification method that is accepted by a majority of linguists.","It can store more than a gigabyte of information equivalent to around 12 hours of music in one cubic centimetre.","And it can store more than a gigabyte of information - equivalent to 1,000 high quality images or around 12 hours of music - in just one cubic centimetre.","Well since your question contains nothing to compare to and is therefore ambiguous, the answer could only be yes.","The more languages you know, the easier it generally is to learn new ones.","Perhaps you could start by studying how you pronounce English /w/, which consists of simultaneous labial and velar approximation.","Try looking in a mirror into your mouth while producing some words like ""fill feel hello ladle larry bottle etc"".","(0) On different topics.","(2) Not equivalent, but share some details.","(5) Completely equivalent, as they mean the same thing.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","","","","",""
"302U8RURJZFUB4S1SDFVVMTZ7YSVNE","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:43 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:43 GMT 2014","","","3AAPLD8UCDVPA00UAMP4D431PUWHTT","AV3CA0IYNRCCJ","Approved","Fri Dec 19 17:29:58 GMT 2014","Fri Dec 19 17:35:52 GMT 2014","Sun Dec 21 17:35:52 GMT 2014","2014/12/21 17:38:09 +0000","","","354","100% (99/99)","100% (99/99)","100% (34/34)","The Japanese case marker =ga (a post-clitic), was not originally a subject marker.","First, I am going to address Tangurena's answer (I don't have enough reputation to add a comment).","Putin Declares Victory in Russia Presidential Vote","Complaints in Russian election mount","The example of Piraha shows that Chomsky's basic claim about language is incorrect, and that's it.","A sort of squabble played out a few years ago on the pages of Language.","There is at least one case I can think of in English similar to this.","Latin has a pretty large class of nouns like these, which are actually called abundantia in the grammatical tradition.","One powerful husband and wife couple had created an organization before Interlingua was formalized.","First of all, this goal is seen as somewhat utopic today.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","(1) Not equivalent, but are on the same topic.","(1) Not equivalent, but are on the same topic.","(0) On different topics.","","","","",""
"31HLTCK4BL9O1CBF592052K26M6VG6","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:36 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:36 GMT 2014","","","38F71OA9GUA1J9J46Z0SO5WWF7IMFU","AJPQEZBVJXVE9","Approved","Fri Dec 19 16:21:00 GMT 2014","Fri Dec 19 16:21:43 GMT 2014","Sun Dec 21 16:21:43 GMT 2014","2014/12/21 16:23:16 +0000","","","43","100% (76/76)","100% (76/76)","0% (0/0)","Many football players sitting on the ground.","A dog rolls on the ground.","A little boy and a little girl playing together outside.","A woman wearing a white shirt stands on the street.","A group of people in boats racing towards the shore.","A group of people stand together and pose in front of a house.","A person in a red vest is touching the blue ice skates on another person.","A lady fastens someone's ice skates in the snow.","Hurricane Sandy makes landfall in southeastern Jamaica: NHC","Hurricane Sandy reaches Jamaica","(0) On different topics.","(0) On different topics.","(0) On different topics.","(4) Mostly equivalent, but some unimportant details differ.","(5) Completely equivalent, as they mean the same thing.","","","","",""
"30Y6N4AHYPATWLK7UZWIYKS28ODRDZ","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:20:00 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:20:00 GMT 2014","","","3YJ6NA41JCUN9E2DH5J5K7IJDJDPJZ","A2B8HPIZDKYKDR","Approved","Fri Dec 19 17:06:21 GMT 2014","Fri Dec 19 17:09:38 GMT 2014","Sun Dec 21 17:09:38 GMT 2014","2014/12/21 17:13:07 +0000","","","197","100% (81/81)","100% (81/81)","100% (33/33)","is there a way to measure my own reviewing bias?","There aren’t many ways for your to evaluate how your reviews stand against others, but there is at least one.","the 25 page long report asserted that out of the 18 goals , the government of al-maliki achieved only 8 , two of which were deemed "" weak . ""","it was stated in the write up , released in twenty-five pages , that al-maliki 's regime accomplished only eight of eighteen objectives , 2 of which were scored "" weak "" .","A link to a profile page that makes it clear you're a grad student should be enough.","Personally I hate signatures, I see it as trying to make a superficial impression based on a title.","Remember that Europe is a big place, comprised of lots of different countries.","There are tough (read respectable) and relatively easy (read weaker) schools and PhD programs in both sides.","Here's an answer based on my experience in the United States.","Everywhere I've attended and worked in Britain, I've called teachers by their first name and been called my first name.","(2) Not equivalent, but share some details.","(5) Completely equivalent, as they mean the same thing.","(3) Roughly equivalent, but some important information differs/missing.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","One is a question, the other a statement.","","I think they are both about signing you are a grad student.","","I think they are both about or going to be about how to address teachers."
"31ODACBENUTZM9OPEA27OT4XD5LQSR","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:44 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:44 GMT 2014","","","3OSWBBLG1FBFF14CT07BBM99AYMDXU","AV3CA0IYNRCCJ","Approved","Fri Dec 19 16:19:29 GMT 2014","Fri Dec 19 16:22:50 GMT 2014","Sun Dec 21 16:22:50 GMT 2014","2014/12/21 16:23:19 +0000","","","201","100% (99/99)","100% (99/99)","100% (34/34)","I would consider using OSM as they are available for garmin devices.","I'm going to say that fit is one of the most important elements.","Results of the 2001 Aboriginal Peoples Survey released yesterday by Statistics Canada suggest living standards have improved but still lag for those off reserves.","The 2001 Aboriginal Peoples Survey released Wednesday by Statistics Canada says living standards have improved but still lag for the Inuit and those who leave their often impoverished reserves.","So there is a known reason for the order not to drink tap water.","If you are being asked to boil water it has a biological contamination.","I follow a paleotic diet (which is gluten-free) for fairly similar reasons.","First, sorry to hear the diagnosis, but you are not alone.","So it's important to have a basic understanding before you even get on skis.","Skiing is a sport where taking lessons pays off very quickly.","(1) Not equivalent, but are on the same topic.","(3) Roughly equivalent, but some important information differs/missing.","(3) Roughly equivalent, but some important information differs/missing.","(1) Not equivalent, but are on the same topic.","(4) Mostly equivalent, but some unimportant details differ.","","","","",""
"306W7JMRYYCUZJ7RHUZCCD9XFBCB8Z","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:08 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:08 GMT 2014","","","3SKEMFQBZ4JXE69ED9H6Z0N63Y5K81","A2APPZDU0VS9LN","Approved","Fri Dec 19 15:24:17 GMT 2014","Fri Dec 19 15:27:59 GMT 2014","Sun Dec 21 15:27:59 GMT 2014","2014/12/21 15:28:10 +0000","","","222","100% (66/66)","100% (66/66)","100% (17/17)","i have heard really good things about them.","i can tell some of them, if anyone wants to hear.","Gazans fire 2 rockets into Israel; no injuries","Gazans fire 89 rockets; cabinet approves reserve call-up","there are far more important political and economical reasons for military intervention or political sanctions.","the true heroes will be ones that bear the burden of 40 years of political discourse.","no charges filed against 26 year old.","now they are set in their ways.","they offered up private solutions, good ones, ones that don't increase taxes on anyone.","neither government nor people should impose their values on anyone.","(1) Not equivalent, but are on the same topic.","(3) Roughly equivalent, but some important information differs/missing.","(1) Not equivalent, but are on the same topic.","(0) On different topics.","(0) On different topics.","","","","",""
"306W7JMRYYCUZJ7RHUZCCD9XFBD8BX","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:49 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:49 GMT 2014","","","36AHBNMV1SQ4F6UMYWTDU0GIC4EDYY","A2AB9WEOEPG7WR","Approved","Fri Dec 19 15:55:29 GMT 2014","Fri Dec 19 15:57:43 GMT 2014","Sun Dec 21 15:57:43 GMT 2014","2014/12/21 15:58:17 +0000","","","134","100% (85/85)","100% (85/85)","100% (67/67)","A surfer is riding on a breaking wave.","A surfer is riding a wave.","A man is standing in water near a waterfall.","A man wades in the water and watches a water fall.","Sarkozy to File Complaint in Gadhafi Funding Claim","Sarkozy to sue after Gaddafi cash claim bursts into campaign","a dog is running across the sand with a stick in it's mouth.","A dog is running through a creek with a stick in its mouth.","A black dog is chasing two birds on the shore of the ocean.","A dog is running along the beach beside the ocean.","(4) Mostly equivalent, but some unimportant details differ.","(3) Roughly equivalent, but some important information differs/missing.","(4) Mostly equivalent, but some unimportant details differ.","(4) Mostly equivalent, but some unimportant details differ.","(2) Not equivalent, but share some details.","wording is a bit different in statement 1","statement 2 is a bit different that statement one","Wording is a bit different in statement 2","statement two states creek instead of sand in statement 1","the dog in statement 2 is not chasing two birds"
"30F94FBDNRYDX3ZFKSA7395KTOYBTP","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:20:02 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:20:02 GMT 2014","","","3PW9OPU9PRYKMQL3PI2NKUE48SL12K","A1EGJ0KJG2QFB4","Approved","Fri Dec 19 17:04:13 GMT 2014","Fri Dec 19 17:05:05 GMT 2014","Sun Dec 21 17:05:05 GMT 2014","2014/12/21 17:08:08 +0000","","","52","100% (82/82)","100% (82/82)","0% (0/0)","As far as I know all accretion disks are prograde.","Consider a binary system with a neutron star and a companion star.","Well, when two black holes collide a new black hole is created.","There are currently three classifications of black hole and these are stellar, super massive and miniature.","it revealed that somewhere around 50 to eighty suicide bombers are deployed monthly to the branch of al-qaida in the republic of iraq by a network which syria keeps up .","a network supported by syria is sending from 50 to 80 suicide bombers per month to "" al-qa 'ida "" in iraq , he revealed .","The mass luminosity relation is non-linear (L = M^3.5 for the main sequence) so more massive stars burn at a much faster rate.","The easiest way to think of it is terms of the cube square law coming into play.","There is a prior answer here claiming that ""a moon with a moon would be an unstable system"".","I don't think there are any in the Solar system.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","(5) Completely equivalent, as they mean the same thing.","(0) On different topics.","(0) On different topics.","","","","",""
"322ZSN9Z5GYTC4E65D0KVVZEJWHT41","307S2DJ7IZ4QU0RW6NWHM8UDBS2A17","Compare the Meaning of Two Statements (v.2.5.15)","Compare two statements and rate how similar they are in meaning to each other.","Statements, Comparison, Semantics, Meaning, Similarity, Sentences, Text, Rating","$0.25","Fri Dec 19 15:19:45 GMT 2014","1","BatchId:1770965;","1800","172800","Fri Dec 26 15:19:45 GMT 2014","","","3MHW492WW1RQF65U6E5W6RZI31IVM3","A1NJ1IJLKAS0Y4","Approved","Fri Dec 19 18:34:55 GMT 2014","Fri Dec 19 18:36:01 GMT 2014","Sun Dec 21 18:36:01 GMT 2014","2014/12/21 18:38:08 +0000","","","66","100% (98/98)","100% (98/98)","100% (24/24)","hold or place in equilibrium","hold or carry in equilibrium.","It would be unusual for a snake to attack a stationary person.","I'm no herpetologist, but in my experience, snakes are in the ""you don't bug me, I won't bug you"" category.","I am near Seattle and I am getting some miles in around Snoqualmie and Middle Fork Wilderness areas.","I realize you already made your trip, but I will answer your question anyhow.","As I wrote above, it's hard to rate this wall.","Unlike others, I think the route is pretty well described.","You need to distill it - I'm assuming that freezing is not an option (unless you're camping in the extreme latitudes).","Outdoors you can dig a hole and build SOLAR STILL.","(4) Mostly equivalent, but some unimportant details differ.","(5) Completely equivalent, as they mean the same thing.","(1) Not equivalent, but are on the same topic.","(0) On different topics.","(1) Not equivalent, but are on the same topic.","","","","",""
